ID;X_COORD;Y_COORD;P9303;Q9303;P93;G0;CT9303;CI9303;CC9303;WP9303;WQ9303;WP93;WG0;WCT9303;WCI9303;WCC9303
220004;-41,621350;-5,155150;0,531180;0,514620;1,226000;0,852260;0,748420;2,582140;1,411120;0,455209;0,556817;2,108900;0,674620;0,088063;0,355840;0,488656
220005;-42,650930;-6,198000;0,436930;0,376970;1,858300;0,776060;0,517740;1,293610;0,866500;0,333553;0,245667;2,400300;0,751027;-0,128877;-0,495810;0,230141
220006;-41,588290;-6,239250;0,325830;-0,036680;1,368100;0,835130;-0,866300;-1,062770;-1,180430;0,511553;1,011850;2,127420;0,904232;-0,366828;-0,140827;1,035322
220007;-45,073010;-8,333820;0,478370;1,057060;0,879800;0,893980;-0,077350;1,255890;-0,346480;0,316320;1,316585;1,974300;0,763625;0,168510;1,058745;-0,034972
220008;-43,941040;-7,573130;0,232420;0,253800;1,380300;0,833660;0,079790;1,363920;-0,686580;0,303478;0,738178;1,291180;0,813613;-0,191043;0,486442;-0,571518
220009;-43,049490;-7,378340;0,348620;0,473430;1,034900;0,875280;-0,212040;1,284640;-1,768300;0,205635;0,109482;1,407800;0,847983;-0,114918;-0,360260;0,258113
220010;-44,755650;-9,273890;-0,046770;0,746560;3,591600;0,567190;0,398410;2,274920;0,314630;0,168755;0,760092;2,433820;0,542375;-0,090400;0,390999;0,335601
220011;-43,168770;-8,658490;-0,189880;-0,704670;1,090900;0,868530;-0,875100;-1,348360;-0,973000;0,148146;0,415866;4,690520;0,377060;-0,312618;0,694768;-0,484978
220012;-44,569010;-10,189690;-0,014110;-0,148670;1,936700;0,766620;-1,030520;-3,816840;4,355050;0,195136;0,830728;3,092640;0,189808;-0,312614;0,962380;-0,530540
220013;-41,910890;-6,977480;0,375480;0,445310;1,197500;0,855700;-0,514860;-1,861350;0,719350;0,221204;0,151094;1,058280;0,872466;-0,083050;-0,214714;0,411012
220014;-40,844170;-6,888330;0,038190;0,165330;0,223100;0,973110;0,110480;-1,344780;2,169670;0,326498;0,636730;0,879580;0,870804;-0,500952;-1,050764;0,932944
220015;-41,597920;-7,873010;-0,043550;-0,223580;0,807000;0,902750;0,034870;-1,244270;1,967620;0,252692;0,550316;2,440620;0,497459;-0,395271;-0,660818;-0,054184
230001;-40,951270;-3,160610;-0,240340;-0,489310;7,004600;0,155900;1,067670;2,823340;-0,602200;0,566128;1,297072;1,974960;0,760948;0,526070;0,417444;-0,344150
230002;-41,055620;-3,901450;0,407350;0,858310;6,717200;0,190530;0,478150;1,455010;-0,829270;0,417238;0,857288;0,882080;0,765637;0,436115;0,935493;-0,015812
230003;-40,685350;-3,537580;0,459190;1,250930;0,708400;0,914640;0,670600;1,553450;0,925810;0,383863;0,868003;3,234200;0,543955;0,528325;0,477965;-1,125765
230004;-40,486320;-3,583220;0,673040;1,289700;0,972000;0,882870;-0,233640;-2,536230;-0,709600;0,577295;1,532120;3,225360;0,930580;0,735860;0,861595;-0,718090
230005;-40,249390;-3,651000;0,695400;1,813310;0,443800;0,946520;0,801120;0,169740;-2,361990;0,710179;1,468106;3,093340;0,753680;-0,504643;-0,630021;-0,138541
230006;-40,741360;-4,472770;0,571550;1,255380;1,252800;0,849030;-1,093050;-0,967720;-0,635390;0,775997;1,871462;1,668440;0,777960;-0,323240;-1,299000;-0,108433
230007;-40,141990;-4,371640;1,149800;2,745920;0,064500;0,992230;-1,280810;-5,723870;2,218040;0,922272;1,983266;0,676300;0,951254;-0,583520;-0,771520;-0,438218
230008;-39,578430;-3,322400;0,782250;1,764010;1,015900;0,877580;0,258550;-0,542990;-0,623080;0,488000;1,008590;2,553980;0,452462;0,448155;0,446592;-2,157533
